"type","sub_type","sqft","baths","beds","stories","year_built","listPrice"
"single_family",,"2667","4","4","2","2007","539000"
"single_family",,"1456","2","3",,"1995","189900"
"condos","condo","1601","2","2","1","2006","350000"
"land",,,"0",,,,"1000"
"townhomes","townhouse","1247","2","2",,"1986","40000"
"condos","condo","1237","2","2","1","1977","145000"
"farm",,,,,,,"250000"
"single_family",,"1303","2","3","1","1988","258500"
"single_family",,"1692","2","4","1","2007","259000"
"single_family",,"1800","2","3","1","2005","205000"
"single_family",,"2129","3","4","2","2010","269000"
"single_family",,"2971","4","6","2","2006","245000"
"land",,,"0",,,,"40000"
"single_family",,"2583","3","5","2","2018","640000"
"condos","condo",,"1","1","1","1967","66900"
"single_family",,"1833","2","3","1",,"136900"
"land",,,"0",,,,"99000"
"single_family",,"2020","4","4","2","1986","349000"
"land",,,"0",,,,"7000"
"single_family",,"3109","7","6","2","2005","225000"
"condos","condo","1622","3","3","2","1984","269900"
"single_family",,,"3","6","2","1900","135000"
"land",,,"0",,,,"5900"
"single_family",,"3537","3","4","1",,"600000"
"single_family",,"2550","5","6","1","2000","900000"
"single_family",,"2217","3","4","3","1957","250000"
"single_family",,"3840","4","4",,,"1250000"
"single_family",,"1653","3","4","2",,"230000"
"single_family",,"1593","2","3","1","1965","139900"
"single_family",,"1007","1","3","1","1965","62000"
"land",,,,,,,"29999"
"single_family",,"1694","3","3","2","2007","585000"
"land",,,"0",,,,"59900"
"single_family",,"1406","2","3",,,"340000"
"land",,,"0",,,,"185000"
"single_family",,"2524","3","5","1","1966","164900"
"single_family",,"1410","2","3","1","1979","195000"
"multi_family",,"1530","2","3","2","1940","699000"
"single_family",,"2381","2","3","1","1986","285000"
"single_family",,"2261","3","4","2","2018","525000"
"single_family",,"2210","3","3","2","1974","529500"
"single_family",,"1724","2","3","1","1968","215000"
"single_family",,"1934","2","3","1","2003","385000"
"single_family",,"2697","3","4","2","1959","379900"
"single_family",,"3474","5","5","2","2026","1872000"
"single_family",,"1346","1","3",,"1971","55000"
"single_family",,"1473","2","3","1",,"105000"
"single_family",,"636","1","2",,"1949","19500"
"land",,,"0",,,,"1000"
"land",,,"0",,,,"50000"
"townhomes","townhouse","1012","3","2","2","2006","170000"
"single_family",,,"2","3","1","2004","1"
"single_family",,"656","1","2","1","2008","214900"
"single_family",,"1692","2","3","2","1983","234500"
"single_family",,"1540","3","3","2","2025","453000"
"single_family",,"2184","2","3","2",,"290000"
"single_family",,"1319","2","3","1","1991","199900"
"land",,,"0",,,,"40000"
"land",,,"0",,,,"1000"
"single_family",,"1251","2","2","1","2001","199000"
"land",,,"0",,,,"52950"
"land",,,"0",,,,"225000"
"land",,,"0",,,,"2000"
"single_family",,"1577","4","3","2","1986","225000"
"single_family",,"2143","2","4","1","1969","325000"
"single_family",,,"1","2","1",,"89900"
"single_family",,,"1","2","1","1939","1"
"single_family",,"1256","2","3","1","2006","154900"
"condos","condo","1120","2","2","1","2001","390000"
"single_family",,"1088","2","3","1","1977","249900"
"land",,,"0",,,,"89900"
"single_family",,"1803","3","3","2","2025","385000"
"condos","condo","1051","2","2","1","1987","334000"
"single_family",,"1413","1","2","1","1955","152000"
"single_family",,"3651","2","3","1","2002","539000"
"single_family",,"1900","2","4",,"1978","249900"
"condos","condo","922","2","2","1","1979","299900"
"single_family",,"1025","2","3",,"1990","200000"
"condos","condo","925","2","2","1","1991","158749"
"single_family",,"1616","3","3","2",,"288500"
"single_family",,"1376","2","3","1","1950","94500"
"land",,,"0",,,,"1000"
"single_family",,"1000","2","4","1","1964","225000"
"single_family",,"1322","2","3","1","1988","249000"
"land",,,"0",,,,"90000"
"single_family",,"1185","1","3","1","1938","59990"
"single_family",,"1600","2","3","1","1969","310000"
"land",,,"0",,,,"19900"
"single_family",,"953","2","2","1","1984","85000"
"single_family",,"1213","1","3","1","1966","99900"
"single_family",,"3068","3","4","2","1981","349500"
"single_family",,"1618","3","4","1","2025","975000"
"single_family",,"1976","3","3","1","1995","295000"
"single_family",,"2092","3","4","2","2002","400000"
"townhomes",,"1910","3","3",,,"294520"
"single_family",,"1499","2","3",,"1980","195000"
"single_family",,"4800","6","5","2","1960","4895000"
"land",,,"0",,,,"6000"
"single_family",,"2067","2","4",,"1965","239000"
"single_family",,"1456","2","3",,"1956","109000"
"single_family",,"1012","1","2",,"1975","57000"
"single_family",,"2309","2","4",,"2004","399900"
"single_family",,"1200","1","2","1","1964","99900"
"townhomes","townhouse","2106","3","3","2","2007","356250"
"single_family",,"2569","2","4","2","1960","219900"
"single_family",,"2223","3","4","1","2024","393300"
"single_family",,"2252","2","4","3","1965","175000"
"single_family",,"3770","4","3","2","2002","525000"
"single_family",,"2654","1","5","1","1956","129900"
"single_family",,"2520","4","4","2",,"346990"
"single_family",,"2057","3","4","1","1987","214900"
"single_family",,"1395","2","3","1","1985","230000"
"single_family",,"3679","4","4","2","1961","139500"
"single_family",,"1482","2","3",,"1965","249900"
"single_family",,"1600","3","3","2","1996","499000"
"single_family",,"1750","3","3",,"1987","279900"
"single_family",,"2077","3","3",,,"875000"
"single_family",,"2287","3","3","1","1979","399900"
"single_family",,"3765","3","6","2","2003","1100000"
"land",,,"0",,,,"99000"
"single_family",,"2282","2","3","2","2008","524900"
"single_family",,,"0","0",,"2022","200000"
"single_family",,"1644","2","3","1","1998","375000"
"single_family",,"1970","2","4","1","1971","394900"
"condos","condo","1069","3","2","2","1980","75000"
"land",,,"0",,,,"18500"
"single_family",,"3045","4","4","1","1955","349900"
"single_family",,"1456","2","3","1","1968","169900"
"single_family",,"1852","2","4","1","2003","354900"
"condos","condo","1236","2","2",,"1988","180000"
"single_family",,"1366","2","3",,"2024","529000"
"single_family",,"734","1","2","1","1970","75000"
"condos","condo","1000","2","2","1","1985","35000"
"single_family",,"1500","3","3","2","1978","275000"
"single_family",,"1508","3","3","1","1997","179900"
"single_family",,"2294","3","3",,"1995","299900"
"single_family",,"1109","1","2","1","1950","199000"
"single_family",,"4415","6","5","2","2003","589000"
"single_family",,"13375","11","8","3","2001","2350000"
"single_family",,,"2","3","1",,"215000"
"land",,,"0",,,,"27000"
"single_family",,"3393","5","5",,,"469900"
"land",,,"0",,,,"99999"
"land",,,"0",,,,"34000"
"single_family",,"1748","2","3","1",,"449500"
"single_family",,"1752","2","4","1",,"295000"
"single_family",,"1827","2","4","1","2019","375000"
"condos","condo","768","2","2","1","2000","184999"
"single_family",,"3049","3","4","2","1977","449000"
"single_family",,"2481","4","3","2","2012","500000"
"single_family",,"1820","2","4",,"1940","126000"
"condos","condo","1050","2","2","1","2003","244999"
"condos","condo","2473","3","4","2","1979","485000"
"single_family",,"2125","2","1",,"2015","3750000"
"single_family",,"1560","2","4","2","1997","359900"
"farm",,,,,,,"154530"
"townhomes","townhouse","1317","2","2","2","1986","325000"
"single_family",,"1492","2","3",,"1985","199900"
"single_family",,"810","1","2","1","1967","104900"
"condos","condo","1000","2","2","2","1985","140000"
"condos","condo",,"4","4","1",,"239900"
"condos","condo","1049","2","2","2",,"124900"
"single_family",,"983","1","2",,"1999","30000"
"single_family",,"2181","3","3","2","1993","529000"
"single_family",,"3160","4","5","2","2005","675000"
"condos","condo","1055","2","2",,,"250000"
"single_family",,"3171","4","3","1","2005","369400"
"single_family",,"1313","2","3","1","2024","249900"
"condos","condo","1067","2","2","1","2006","198000"
"single_family",,"1867","2","3","1","1996","307000"
"single_family",,"971","1","2","1","1900","85000"
"single_family",,"2946","3","4","1",,"1295000"
"single_family",,"1938","2","3","2","1889","319000"
"condos","condo","1260","2","3",,,"275000"
"single_family",,"2500","3","3","2","2017","759000"
"condos","condo","840","2","2","1","1978","299000"
"single_family",,"2800","4","6","2","1970","249990"
"single_family",,"1000","1","2","1","1963","99000"
"townhomes","townhouse","972","2","2","1","1980","155000"
"land",,,"0",,,,"69000"
"condos","condo","953","3","3","1","1984","499900"
"townhomes","townhouse","1442","2","3","2","2001","189900"
"single_family",,"1730","2","3","1","1960","350000"
"single_family",,"1140","2","3","2","2022","364000"
"single_family",,"2490","3","4","1","1970","400000"
"single_family",,"2573","4","3","2","2007","395000"
"single_family",,"3936","6","5","2","2001","586000"
"single_family",,"5004","4","4",,"1917","1550000"
"single_family",,"1682","3","3","2","1950","398900"
"land",,,"0",,,,"264000"
"single_family",,"1050","2","3","1","1973","154000"
"land",,,"0",,,,"35000"
"condos","condo","894","2","2","1","1997","128500"
"land",,,"0",,,,"25000"
"single_family",,"1272","2","3","1","1983","169900"
"single_family",,"1869","3","4","2","1983","319000"
"land",,,"0",,,,"140000"
"single_family",,"1097","2","3","1","2021","235000"
"single_family",,"1950","3","4","2","2007","257500"
"single_family",,"2400","3","4",,"1994","329900"
"land",,,"0",,,,"65000"
"single_family",,"2973","3","3","1",,"425000"
"single_family",,"1068","1","3","1","1932","79900"
"land",,,,,,,"29900"
"single_family",,"2754","4","4","2","2008","370000"
"farm",,,,,,,"549000"
"single_family",,,"2","2","1","1988","149000"
"land",,,"0",,,,"165360"
"condos","condo","1241","2","2",,,"215000"
"single_family",,"5082","4","4","2","2010","799900"
"single_family",,"2017","3","3","2","1999","529000"
"single_family",,"1500","3","4","2","2000","325000"
"single_family",,"3636","5","5","3","2014","1550000"
"single_family",,"803","1","2",,"1953","5000"
"single_family",,"1465","2","3","1","1994","359000"
"single_family",,"1428","2","3",,"1991","600000"
"single_family",,"2276","7","5",,"2023","1489000"
"land",,,"0",,,,"34900"
"single_family",,"1100","2","3","1","1985","85000"
"condos","condo","901","2","2","1","1983","177000"
"multi_family",,"2554","4","3",,"1918","390000"
"condos","condo","407","1",,"1","1980","99000"
"single_family",,"2480","3","4","2","2024","420000"
"single_family",,"1613","2","3",,"2000","595000"
"single_family",,"2304","2","5","2","1945","299900"
"townhomes","townhouse","1320","3","3","2","2012","280000"
"single_family",,"2106","2","4","1","1996","339900"
"single_family",,"1199","2","3","1",,"257000"
"single_family",,"1146","2","3",,"1956","179900"
"single_family",,"1439","3","3","2","1980","285000"
"single_family",,"3013","3","5","2","1971","1225000"
"land",,,"0",,,,"9499"
